                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.00091,                0.96074,                0.99927,                0.17679,               0.007822,               0.007822,               0.007822
                     69,                0.00075,                0.96365,                0.99855,                0.17666,               0.007789,               0.007789,               0.007789
                     70,                0.00091,                0.96474,                0.99891,                0.17655,               0.007756,               0.007756,               0.007756
                     71,                 0.0011,                0.96438,                0.99891,                 0.1765,               0.007723,               0.007723,               0.007723
                     72,                  0.001,                0.96438,                0.99891,                0.17642,                0.00769,                0.00769,                0.00769
                     73,                0.00068,                 0.9651,                0.99891,                0.17635,               0.007657,               0.007657,               0.007657
                     74,                0.00072,                0.96583,                0.99927,                0.17636,               0.007624,               0.007624,               0.007624
                     75,                0.00081,                0.96329,                0.99927,                0.17641,               0.007591,               0.007591,               0.007591
                     76,                0.00063,                0.96256,                0.99891,                0.17644,               0.007558,               0.007558,               0.007558
                     77,                0.00054,                0.96438,                0.99964,                0.17643,               0.007525,               0.007525,               0.007525
                     78,                0.00079,                0.96365,                0.99964,                0.17643,               0.007492,               0.007492,               0.007492
                     79,                0.00131,                 0.9622,                0.99964,                0.17646,               0.007459,               0.007459,               0.007459
                     80,                0.00149,                 0.9622,                0.99964,                0.17648,               0.007426,               0.007426,               0.007426
                     81,                0.00199,                0.96183,                0.99964,                0.17652,               0.007393,               0.007393,               0.007393
                     82,                0.00157,                0.96147,                0.99964,                0.17653,                0.00736,                0.00736,                0.00736
                     83,                0.00205,                0.96038,                0.99964,                0.17655,               0.007327,               0.007327,               0.007327
                     84,                0.00159,                0.96111,                0.99964,                0.17648,               0.007294,               0.007294,               0.007294
                     85,                0.00201,                0.96147,                      1,                0.17646,               0.007261,               0.007261,               0.007261
                     86,                0.00144,                0.96111,                      1,                0.17643,               0.007228,               0.007228,               0.007228
                     87,                0.00127,                 0.9622,                      1,                0.17645,               0.007195,               0.007195,               0.007195
                     88,                0.00126,                0.96111,                      1,                0.17645,               0.007162,               0.007162,               0.007162
                     89,                0.00065,                 0.9622,                      1,                0.17647,               0.007129,               0.007129,               0.007129
                     90,                0.00125,                0.96256,                0.99964,                0.17649,               0.007096,               0.007096,               0.007096
                     91,                0.00151,                0.96292,                0.99964,                 0.1765,               0.007063,               0.007063,               0.007063
                     92,                0.00143,                0.96256,                0.99964,                0.17652,                0.00703,                0.00703,                0.00703
                     93,                 0.0015,                 0.9622,                0.99964,                0.17654,               0.006997,               0.006997,               0.006997
                     94,                0.00163,                0.96183,                0.99964,                0.17653,               0.006964,               0.006964,               0.006964
                     95,                0.00152,                 0.9622,                0.99964,                0.17653,               0.006931,               0.006931,               0.006931
                     96,                0.00091,                0.96256,                0.99964,                0.17652,               0.006898,               0.006898,               0.006898
                     97,                0.00092,                0.96256,                0.99927,                0.17649,               0.006865,               0.006865,               0.006865
                     98,                0.00111,                0.96183,                0.99927,                0.17649,               0.006832,               0.006832,               0.006832
                     99,                0.00158,                0.96147,                0.99927,                0.17648,               0.006799,               0.006799,               0.006799
                    100,                0.00112,                0.96183,                0.99927,                0.17647,               0.006766,               0.006766,               0.006766
                    101,                0.00076,                 0.9622,                0.99927,                0.17647,               0.006733,               0.006733,               0.006733
                    102,                0.00085,                 0.9622,                0.99927,                0.17647,                 0.0067,                 0.0067,                 0.0067
                    103,                0.00072,                0.96147,                0.99891,                0.17647,               0.006667,               0.006667,               0.006667
                    104,                0.00074,                0.96111,                0.99927,                0.17647,               0.006634,               0.006634,               0.006634
                    105,                0.00058,                0.96147,                0.99927,                0.17647,               0.006601,               0.006601,               0.006601
                    106,                 0.0004,                0.96111,                0.99964,                0.17647,               0.006568,               0.006568,               0.006568
                    107,                0.00035,                0.96074,                0.99964,                0.17646,               0.006535,               0.006535,               0.006535
                    108,                0.00069,                0.96074,                0.99964,                0.17646,               0.006502,               0.006502,               0.006502
                    109,                0.00066,                0.96111,                0.99964,                0.17647,               0.006469,               0.006469,               0.006469
                    110,                0.00054,                0.96074,                0.99964,                0.17647,               0.006436,               0.006436,               0.006436
                    111,                0.00042,                0.96111,                0.99964,                0.17646,               0.006403,               0.006403,               0.006403
                    112,                0.00026,                0.96074,                0.99964,                0.17647,                0.00637,                0.00637,                0.00637
                    113,                0.00044,                0.96074,                0.99964,                0.17646,               0.006337,               0.006337,               0.006337
                    114,                0.00024,                0.96001,                0.99964,                0.17646,               0.006304,               0.006304,               0.006304
                    115,                0.00021,                0.96038,                0.99964,                0.17646,               0.006271,               0.006271,               0.006271
                    116,                0.00037,                0.95965,                0.99964,                0.17646,               0.006238,               0.006238,               0.006238
                    117,                0.00057,                0.95965,                0.99964,                0.17647,               0.006205,               0.006205,               0.006205
                    118,                0.00033,                0.96038,                0.99964,                0.17647,               0.006172,               0.006172,               0.006172
                    119,                0.00044,                0.96038,                0.99927,                0.17647,               0.006139,               0.006139,               0.006139
                    120,                0.00071,                0.96001,                0.99927,                0.17649,               0.006106,               0.006106,               0.006106
                    121,                 0.0008,                0.96074,                0.99964,                0.17651,               0.006073,               0.006073,               0.006073
                    122,                0.00092,                0.96074,                0.99964,                0.17652,                0.00604,                0.00604,                0.00604
                    123,                0.00126,                0.96111,                0.99964,                0.17653,               0.006007,               0.006007,               0.006007
                    124,                0.00188,                0.96111,                0.99927,                0.17654,               0.005974,               0.005974,               0.005974
